cal_sbid,sbid,field
13615,13584,RACS_test4_1.05_1147+06A         
13615,13585,RACS_test4_1.05_1147+12A         
13615,13586,RACS_test4_1.05_1237+12A         
13615,13587,RACS_test4_1.05_1237+06A         
13615,13588,RACS_test4_1.05_1302+06A         
13615,13589,RACS_test4_1.05_1212+06A         
13615,13590,RACS_test4_1.05_1418+12A         
13615,13591,RACS_test4_1.05_1326+00A         
13615,13592,RACS_test4_1.05_1444+12A         
13615,13593,RACS_test4_1.05_1509+12A         
13615,13594,RACS_test4_1.05_1506+06A         
13615,13595,RACS_test4_1.05_1416+00A         
13615,13596,RACS_test4_1.05_1555+06A         
13615,13597,RACS_test4_1.05_1534-12A         
13615,13598,RACS_test4_1.05_1620+00A         
13615,13599,RACS_test4_1.05_1645+00A         
13615,13600,RACS_test4_1.05_1600-50A         
13615,13601,RACS_test4_1.05_1636-50A         
13615,13602,RACS_test4_1.05_1730-68A         
13615,13603,RACS_test4_1.05_1800+00A         
13615,13605,RACS_test4_1.05_1947+12A         
13615,13606,RACS_test4_1.05_2012+12A         
13708,13661,RACS_test4_1.05_0943+06A         
13708,13662,RACS_test4_1.05_0836-25A         
13708,13663,RACS_test4_1.05_1024-25A         
13708,13664,RACS_test4_1.05_1033+06A         
13708,13665,RACS_test4_1.05_1024+25A         
13708,13666,RACS_test4_1.05_1056+12A         
13708,13667,RACS_test4_1.05_1057+06A         
13708,13668,RACS_test4_1.05_1146+18A         
13708,13669,RACS_test4_1.05_1122+06A         
13708,13670,RACS_test4_1.05_1122+00A         
13708,13671,RACS_test4_1.05_1237+00A         
13708,13672,RACS_test4_1.05_1302+00A         
13708,13673,RACS_test4_1.05_1212+00A         
13708,13674,RACS_test4_1.05_1335+25A         
13708,13675,RACS_test4_1.05_1331+18A         
13708,13676,RACS_test4_1.05_1402+25A         
13708,13677,RACS_test4_1.05_1429+25A         
13708,13678,RACS_test4_1.05_1429-25A         
13708,13679,RACS_test4_1.05_1456+25A         
13708,13680,RACS_test4_1.05_1523+25A         
13708,13681,RACS_test4_1.05_1450+18A         
13708,13682,RACS_test4_1.05_1550+25A         
13708,13683,RACS_test4_1.05_1516+18A         
13708,13684,RACS_test4_1.05_1618+25A         
13708,13685,RACS_test4_1.05_1645+25A         
13708,13686,RACS_test4_1.05_1542+18A         
13708,13687,RACS_test4_1.05_1712+25A         
13708,13688,RACS_test4_1.05_1739+25A         
13708,13689,RACS_test4_1.05_1650+12A         
13708,13690,RACS_test4_1.05_1806+25A         
13708,13691,RACS_test4_1.05_1819+18A         
13708,13692,RACS_test4_1.05_1833+25A         
13708,13693,RACS_test4_1.05_1901+25A         
13708,13694,RACS_test4_1.05_1917+31A         
13708,13695,RACS_test4_1.05_1928+25A         
13708,13696,RACS_test4_1.05_1945+31A         
13708,13697,RACS_test4_1.05_1955+25A         
13708,13698,RACS_test4_1.05_2014+31A         
13708,13699,RACS_test4_1.05_2042+31A         
13708,13700,RACS_test4_1.05_2049+25A         
13708,13701,RACS_test4_1.05_2110+31A         
13708,13702,RACS_test4_1.05_2116+25A         
13708,13703,RACS_test4_1.05_2022+25A         
13708,13704,RACS_test4_1.05_2144+25A         
13708,13705,RACS_test4_1.05_2211+25A         
13708,13706,RACS_test4_1.05_2238+25A         
13708,13707,RACS_test4_1.05_2215+18A         
13708,13709,RACS_test4_1.05_0054+25A         
13708,13710,RACS_test4_1.05_0121+25A         
