cal_sbid,sbid,field
12455,12408,RACS_test4_1.05_0635-31A
12455,12409,RACS_test4_1.05_0804-06A
12455,12410,RACS_test4_1.05_0825-12A
12455,12411,RACS_test4_1.05_0903-25A
12455,12412,RACS_test4_1.05_0909-18A
12455,12413,RACS_test4_1.05_0936-18A
12455,12414,RACS_test4_1.05_0943-06A
12455,12415,RACS_test4_1.05_1008-06A
12455,12416,RACS_test4_1.05_1028-18A
12455,12417,RACS_test4_1.05_1033-06A
12455,12418,RACS_test4_1.05_1031-12A
12455,12419,RACS_test4_1.05_1122-06A
12455,12420,RACS_test4_1.05_1145-31A
12455,12421,RACS_test4_1.05_1056-12A
12455,12422,RACS_test4_1.05_1212-06A
12455,12423,RACS_test4_1.05_1237-06A
12455,12424,RACS_test4_1.05_1117-31A
12455,12425,RACS_test4_1.05_1310-31A
12455,12426,RACS_test4_1.05_1328-12A
12455,12427,RACS_test4_1.05_1338-31A
12455,12428,RACS_test4_1.05_1351-06A
12455,12429,RACS_test4_1.05_1416-06A
12455,12430,RACS_test4_1.05_1242-31A
12455,12431,RACS_test4_1.05_1441-06A
12455,12432,RACS_test4_1.05_1506-06A
12455,12433,RACS_test4_1.05_1516-18A
12455,12434,RACS_test4_1.05_1531-06A
12455,12435,RACS_test4_1.05_1407-31A
12455,12436,RACS_test4_1.05_1608-18A
12455,12437,RACS_test4_1.05_1503-31A
12455,12438,RACS_test4_1.05_1645-25A
12455,12439,RACS_test4_1.05_1701-18A
12455,12440,RACS_test4_1.05_1710-06A
12455,12441,RACS_test4_1.05_1600-12A
12455,12442,RACS_test4_1.05_1730-68A
12455,12443,RACS_test4_1.05_1630-68A
12455,12444,RACS_test4_1.05_1714-73A
12455,12445,RACS_test4_1.05_1822-37A
12455,12447,RACS_test4_1.05_1912-18A
12455,12448,RACS_test4_1.05_1853-37A
12455,12449,RACS_test4_1.05_2004-18A
12455,12450,RACS_test4_1.05_2028-06A
12455,12451,RACS_test4_1.05_2004-06A
12455,12452,RACS_test4_1.05_2056-18A
12455,12453,RACS_test4_1.05_2056-37A
12455,12454,RACS_test4_1.05_2025-37A
12455,12456,RACS_test4_1.05_0028-31A
12455,12457,RACS_test4_1.05_2331-31A
12455,12458,RACS_test4_1.05_2332-25A
12455,12459,RACS_test4_1.05_0102-06A
12455,12460,RACS_test4_1.05_2359-25A
12455,12461,RACS_test4_1.05_0144-18A
12455,12462,RACS_test4_1.05_0050-12A
12455,12463,RACS_test4_1.05_0216-06A
12455,12464,RACS_test4_1.05_0131-37A
12455,12465,RACS_test4_1.05_0202-37A
12455,12466,RACS_test4_1.05_0310-25A
12455,12467,RACS_test4_1.05_0306-06A
12455,12468,RACS_test4_1.05_0337-25A
12455,12469,RACS_test4_1.05_0404-25A
12455,12470,RACS_test4_1.05_0421-18A
12455,12471,RACS_test4_1.05_0347-12A
12455,12472,RACS_test4_1.05_0320-43A
12455,12473,RACS_test4_1.05_0514-18A
12455,12474,RACS_test4_1.05_0510-06A
12455,12475,RACS_test4_1.05_0501-43A
12455,12476,RACS_test4_1.05_0600-06A
12455,12477,RACS_test4_1.05_0618-12A
12455,12478,RACS_test4_1.05_0553-12A
12455,12479,RACS_test4_1.05_0607-37A
12455,12480,RACS_test4_1.05_0638-37A
12455,12481,RACS_test4_1.05_0641-43A
12455,12482,RACS_test4_1.05_0708-37A
12455,12483,RACS_test4_1.05_0715-43A
12509,12484,RACS_test4_1.05_0723-50A
12509,12485,RACS_test4_1.05_0800-50A
12509,12486,RACS_test4_1.05_0830-68A
12509,12488,RACS_test4_1.05_0941-12A
12509,12490,RACS_test4_1.05_1036-43A
12509,12491,RACS_test4_1.05_1109-43A
12509,12492,RACS_test4_1.05_1122-12A
12509,12493,RACS_test4_1.05_1147-12A
12509,12494,RACS_test4_1.05_1212-12A
12509,12495,RACS_test4_1.05_1141-50A
12509,12496,RACS_test4_1.05_1237-12A
12509,12497,RACS_test4_1.05_1303-12A
12509,12499,RACS_test4_1.05_1327-73A
12509,12500,RACS_test4_1.05_1353-12A
12509,12502,RACS_test4_1.05_1444-12A
12509,12503,RACS_test4_1.05_1509-12A
12509,12504,RACS_test4_1.05_1531-31A
12509,12505,RACS_test4_1.05_1554-71A
12509,12506,RACS_test4_1.05_1549-37A
12509,12510,RACS_test4_1.05_1954-37A
12509,12511,RACS_test4_1.05_2055-50A
12509,12512,RACS_test4_1.05_2049-56A
12509,12513,RACS_test4_1.05_2007-56A
12509,12515,RACS_test4_1.05_2303-31A
12509,12516,RACS_test4_1.05_2309-12A
12509,12517,RACS_test4_1.05_2334-12A
12509,12518,RACS_test4_1.05_0000-31A
12509,12519,RACS_test4_1.05_2323-50A
12509,12520,RACS_test4_1.05_0025-12A
12509,12521,RACS_test4_1.05_0049-62A
12509,12522,RACS_test4_1.05_0103-56A
12509,12523,RACS_test4_1.05_0130-68A
12509,12524,RACS_test4_1.05_0145-56A
12509,12525,RACS_test4_1.05_0139-62A
12509,12527,RACS_test4_1.05_0228-62A
12509,12528,RACS_test4_1.05_0304-50A
12509,12529,RACS_test4_1.05_0310-56A
12509,12530,RACS_test4_1.05_0341-50A
12509,12531,RACS_test4_1.05_0330-68A
12509,12532,RACS_test4_1.05_0230-68A
