cal_sbid,sbid,field
34697,34668,RACS_0327+41
34697,34669,RACS_0355+41
34697,34670,RACS_0423+41
34697,34671,RACS_0450+41
34697,34672,RACS_0448+37
34697,34673,RACS_0518+41
34697,34674,RACS_0546+41
34697,34675,RACS_0614+46
34697,34676,RACS_0613+41
34697,34677,RACS_0644+46
34697,34678,RACS_0714+46
34697,34679,RACS_0709+41
34697,34680,RACS_0744+46
34697,34681,RACS_0751+37
34697,34682,RACS_0817+37
34697,34683,RACS_0832+41
34697,34684,RACS_0859+41
34697,34685,RACS_0909+37
34697,34686,RACS_0927+41
34697,34687,RACS_0955+41
34697,34688,RACS_1023+41
34697,34689,RACS_1044+46
34697,34690,RACS_1050+41
34697,34691,RACS_1118+41
34697,34692,RACS_1144+46
34697,34693,RACS_1146+41
34697,34694,RACS_1213+41
34697,34698,RACS_1900-28
34697,34699,RACS_1918-18
34697,34702,RACS_2044+46
34697,34703,RACS_2059+41
34697,34704,RACS_2100+28
34697,34705,RACS_2127+41
34697,34706,RACS_2155+41
34697,34707,RACS_2223+41
34697,34708,RACS_2244+46
34697,34709,RACS_2250+41
34697,34710,RACS_2307+37
34697,34711,RACS_2322+32
34697,34712,RACS_2346+41
34697,34713,RACS_0013+41
34697,34715,RACS_0052+37
34697,34716,RACS_0109+41
34697,34717,RACS_0136+41
34697,34718,RACS_0204+41
34697,34719,RACS_0210+37
34697,34720,RACS_0232+41
34697,34721,RACS_0259+41
34697,34722,RACS_0306+32
34697,34723,RACS_0329+37
34697,34724,RACS_0355+37
34697,34725,RACS_0421+37
34697,34726,RACS_0444+46
34697,34727,RACS_0514+46
34697,34728,RACS_0514+37
34697,34729,RACS_0544+46
34697,34730,RACS_0548+28
34697,34731,RACS_0606+37
34697,34732,RACS_0632+37
34697,34733,RACS_0649+32
34697,34734,RACS_0714+32
34697,34735,RACS_0736+41
34697,34736,RACS_0804+41
34697,34737,RACS_0844+46
34697,34738,RACS_0828+32
34697,34739,RACS_0853+32
34697,34740,RACS_0918+32
34697,34741,RACS_0944+46
34697,34742,RACS_0955+41
34697,34743,RACS_1023+41
34697,34744,RACS_1028+37
34697,34745,RACS_1054+37
34697,34746,RACS_1120+37
34697,34747,RACS_1125+23
34697,34748,RACS_1146+37
34697,34749,RACS_1213+37
34697,34750,RACS_1245+46
34697,34751,RACS_1315+46
34697,34752,RACS_1309+41
34697,34753,RACS_1345+46
34697,34754,RACS_1415+46
34697,34755,RACS_1404+41
34697,34756,RACS_1432+41
34697,34757,RACS_1459+41
34697,34758,RACS_1506+32
34697,34759,RACS_1527+41
34697,34760,RACS_1555+41
34697,34761,RACS_1608+37
34697,34762,RACS_1644+46
34697,34763,RACS_1650+41
34697,34764,RACS_1718+41
34697,34765,RACS_1744+46
34697,34766,RACS_1746+41
34697,34767,RACS_1813+41
34697,34768,RACS_1844+46
34697,34769,RACS_1845+37
34697,34770,RACS_1909+41
34697,34771,RACS_1936+41
34697,34772,RACS_2004+41
34697,34773,RACS_2012+28
