cal_sbid,sbid,field
66393,66365,RACS_0518+41
66393,66366,RACS_0614+46
66393,66367,RACS_0644+46
66393,66368,RACS_0714+46
66393,66369,RACS_0641+41
66393,66370,RACS_0709+41
66393,66371,RACS_0744+46
66393,66372,RACS_0736+41
66393,66373,RACS_0804+41
66393,66374,RACS_0844+46
66393,66375,RACS_0832+41
66393,66376,RACS_0914+46
66393,66377,RACS_0909+37
66393,66378,RACS_0927+41
66393,66379,RACS_1014+46
66393,66380,RACS_0955+41
66393,66381,RACS_1044+46
66393,66382,RACS_1114+46
66393,66383,RACS_1050+41
66393,66384,RACS_1144+46
66393,66385,RACS_1215+46
66393,66386,RACS_1146+41
66393,66387,RACS_1213+41
66393,66388,RACS_1245+46
66393,66389,RACS_1241+41
66393,66390,RACS_1315+46
66393,66391,RACS_1345+46
