cal_sbid,sbid,field
20148,20147,RACS_2007-64
20148,20149,RACS_2310-51
20148,20150,RACS_2343-51
20148,20151,RACS_0014+46
20148,20152,RACS_0044+46
20148,20158,RACS_0144+46
20148,20160,RACS_0344+46
20148,20161,RACS_0414+46
20148,20164,RACS_1118+41
20148,20165,RACS_1245+46
20148,20166,RACS_1315+46
20148,20167,RACS_1345+46
20148,20168,RACS_1415+46
20148,20169,RACS_1444+46
20148,20170,RACS_1432+41
20148,20171,RACS_1514+46
20148,20172,RACS_1544+46
20148,20173,RACS_1555+41
20148,20174,RACS_1614+46
20148,20175,RACS_1644+46
20148,20176,RACS_1650+41
20148,20177,RACS_1714+46
20214,20210,RACS_1213+41
20214,20211,RACS_1309+41
20214,20212,RACS_1336+41
20214,20213,RACS_1404+41
20214,20226,RACS_1708-60
20214,20228,RACS_1706-55
20214,20254,RACS_0041+41
20214,20256,RACS_0136+41
20214,20257,RACS_0204+41
20270,20258,RACS_0232+41
20270,20259,RACS_0259+41
20270,20260,RACS_0327+41
20270,20261,RACS_0355+41
20270,20262,RACS_0423+41
20270,20263,RACS_0450+41
20270,20265,RACS_1241+41
20270,20266,RACS_1239+37
20270,20267,RACS_1305+37
20270,20268,RACS_1331+37
20270,20272,RACS_1921-64
20270,20273,RACS_1912-60
20270,20274,RACS_1930-55
20270,20275,RACS_1921-51
20270,20276,RACS_1944-46
20270,20277,RACS_2004-41
20270,20279,RACS_2032+41
20270,20280,RACS_2059+41
20270,20281,RACS_2127+41
20270,20285,RACS_2318+41
20270,20286,RACS_2346+41
20270,20287,RACS_0013+41
20270,20288,RACS_0026+37
20270,20289,RACS_0109+41
20270,20290,RACS_0118+37
20270,20291,RACS_0144+37
20270,20292,RACS_0210+37
20270,20293,RACS_0237+37
20270,20294,RACS_0303+37
20307,20295,RACS_0329+37
20307,20296,RACS_0355+37
20307,20297,RACS_0355+32
20307,20298,RACS_0421+37
20307,20299,RACS_0448+37
20307,20300,RACS_0514+37
20307,20301,RACS_0518+41
20307,20303,RACS_1213+37
20307,20304,RACS_1357+37
20307,20305,RACS_1424+37
20307,20306,RACS_1450+37
20307,20310,RACS_1627-60
20307,20311,RACS_1629-55
20307,20312,RACS_1710-51
20307,20313,RACS_1714-46
20307,20314,RACS_1744-46
20307,20315,RACS_1746-41
20307,20316,RACS_1813-41
20307,20317,RACS_1819-37
20307,20318,RACS_1845-37
20307,20319,RACS_1912-37
20307,20320,RACS_1938-37
20307,20321,RACS_1939-32
20307,20322,RACS_2004-32
20307,20323,RACS_2036-28
20307,20324,RACS_2100-28
20307,20325,RACS_2124-28
20307,20326,RACS_2119-23
20307,20327,RACS_2142-23
20307,20328,RACS_2205-23
20307,20329,RACS_2228-23
20307,20330,RACS_2251-23
20307,20331,RACS_2314-23
20307,20332,RACS_2337-23
20307,20333,RACS_2359-23
20307,20334,RACS_0022-23
20307,20336,RACS_0151+32
20307,20337,RACS_0102+32
20307,20338,RACS_0126+32
20307,20339,RACS_0216+32
20307,20340,RACS_0241+32
20307,20341,RACS_0306+32
20358,20342,RACS_0331+32
20358,20343,RACS_0324+28
20358,20354,RACS_1237+32
20358,20355,RACS_1302+32
20358,20356,RACS_1326+32
20358,20359,RACS_1834-64
20358,20360,RACS_1830-60
20358,20361,RACS_1854-55
20358,20362,RACS_1849-51
20358,20363,RACS_1914-46
20358,20364,RACS_1936-41
20358,20365,RACS_2004-37
20358,20366,RACS_2030-37
20358,20367,RACS_2028-32
20358,20368,RACS_2155+41
20358,20370,RACS_2250+41
20358,20371,RACS_2223+41
20358,20372,RACS_2215+37
20358,20373,RACS_2241+37
20358,20374,RACS_2307+37
20358,20375,RACS_2333+37
20358,20376,RACS_0000+37
20358,20377,RACS_0052+37
20358,20378,RACS_0037+32
20358,20380,RACS_0124+28
20358,20381,RACS_0148+28
20358,20382,RACS_0212+28
20358,20383,RACS_0236+28
20358,20386,RACS_0420+32
20358,20387,RACS_0445+32
20358,20388,RACS_0510+32
20358,20390,RACS_1212+32
20358,20391,RACS_1300+28
20358,20392,RACS_1324+28
20435,20394,RACS_1701-64
20435,20395,RACS_1748-64
20435,20396,RACS_1749-60
20435,20397,RACS_1742-55
20435,20398,RACS_1743-51
20435,20399,RACS_1816-51
20435,20400,RACS_1814-46
20435,20401,RACS_1844-46
20435,20402,RACS_1841-41
20435,20403,RACS_1909-41
20435,20404,RACS_1914-32
20435,20405,RACS_1924-28
20435,20406,RACS_1948-28
20435,20407,RACS_2012-28
20435,20408,RACS_2011-23
20435,20409,RACS_2034-23
20435,20410,RACS_2057-23
20435,20411,RACS_2118-32
20435,20412,RACS_2148-28
20435,20413,RACS_2212-28
20435,20414,RACS_2236-28
20435,20415,RACS_2233-32
20435,20416,RACS_2300-28
20435,20417,RACS_2324-28
20435,20418,RACS_2348-28
20435,20419,RACS_0012-28
20435,20420,RACS_0036-28
20435,20421,RACS_0045-23
20435,20422,RACS_0108-23
20435,20423,RACS_0131-23
20435,20424,RACS_0154-23
20435,20425,RACS_0217-23
20435,20426,RACS_0212-28
20435,20427,RACS_0236-28
20435,20428,RACS_0300-28
20435,20429,RACS_0324-28
20435,20430,RACS_0348-28
20435,20431,RACS_0348-23
20435,20433,RACS_1236+28
20435,20434,RACS_1300+28
20435,20436,RACS_1704-69
20435,20437,RACS_1615-64
20435,20438,RACS_1638-51
20435,20439,RACS_1644-46
20435,20440,RACS_1718-41
20435,20441,RACS_1727-37
20435,20442,RACS_1735-32
20435,20443,RACS_1800-32
20435,20444,RACS_1849-32
20435,20445,RACS_1918-18
20435,20446,RACS_1927-14
20435,20447,RACS_1920-09
20435,20448,RACS_1942-09
20435,20449,RACS_2003-09
20435,20450,RACS_2025-09
20435,20451,RACS_2046-09
20435,20452,RACS_2108-09
20435,20453,RACS_2129-09
20435,20454,RACS_2151-09
20435,20455,RACS_2212-09
20435,20456,RACS_2212-04
20435,20457,RACS_2234-04
20435,20458,RACS_2255-04
20435,20459,RACS_2317-04
20435,20460,RACS_2338-04
20435,20461,RACS_2359-04
20435,20462,RACS_0021-04
20435,20463,RACS_0042-04
20435,20464,RACS_0104-04
20435,20465,RACS_0125-04
20435,20466,RACS_0147-04
20435,20467,RACS_0208-04
20435,20468,RACS_0230-04
20435,20469,RACS_0230+00
20435,20470,RACS_0251+00
20435,20471,RACS_0313+00
20435,20472,RACS_0334+00
20435,20474,RACS_1212+28
20435,20475,RACS_1257+23
20435,20476,RACS_1319+23
20435,20477,RACS_1348+28
20435,20478,RACS_1351+32
20435,20479,RACS_1459+41
20435,20480,RACS_1527+41
20510,20481,RACS_1623+41
20510,20482,RACS_1634+37
20510,20483,RACS_1701+37
20510,20484,RACS_1718+41
20510,20485,RACS_1746+41
20510,20486,RACS_1753+37
20510,20487,RACS_1813+41
20510,20488,RACS_1841+41
20510,20490,RACS_2004+41
20510,20493,RACS_0012+32
20510,20494,RACS_0100+28
20510,20495,RACS_0036+28
20510,20496,RACS_0108+23
20510,20497,RACS_0131+23
20510,20498,RACS_0154+23
20510,20499,RACS_0217+23
20510,20500,RACS_0239+23
20510,20501,RACS_0300+28
20510,20502,RACS_0302+23
20510,20503,RACS_0325+23
20510,20504,RACS_0348+28
20510,20505,RACS_0540+37
20510,20507,RACS_1256+18
20510,20509,RACS_1726-73
20510,20511,RACS_1953-60
20510,20512,RACS_2006-55
20510,20513,RACS_1954-51
20510,20514,RACS_2014-46
20510,20515,RACS_2032-41
20510,20516,RACS_2059-41
20510,20520,RACS_0348+23
20510,20521,RACS_0411+23
20510,20522,RACS_0412+28
20510,20523,RACS_0436+28
20510,20524,RACS_0500+28
20510,20525,RACS_0524+28
20510,20526,RACS_0535+32
20510,20528,RACS_1234+23
20510,20529,RACS_1318+18
20510,20530,RACS_1342+23
20510,20531,RACS_1412+28
20510,20532,RACS_1416+32
20510,20533,RACS_1441+32
20510,20534,RACS_1516+37
20510,20535,RACS_1542+37
20510,20536,RACS_1608+37
20510,20537,RACS_1620+32
20609,20540,RACS_1727+37
20609,20556,RACS_2227-64
20609,20557,RACS_2313-64
20609,20558,RACS_2318-60
20609,20559,RACS_2342-55
20609,20560,RACS_0018-55
20609,20561,RACS_0016-51
20609,20562,RACS_0049-51
20609,20563,RACS_0121-51
20609,20564,RACS_0114-46
20609,20565,RACS_0144-46
20609,20566,RACS_0204-41
20609,20567,RACS_0210-37
20609,20568,RACS_0237-37
20609,20569,RACS_0303-37
20609,20570,RACS_0329-37
20609,20571,RACS_0331-32
20609,20572,RACS_0355-32
20609,20573,RACS_0412-28
20609,20574,RACS_0436-28
20609,20575,RACS_0500-28
20609,20576,RACS_0524-28
20609,20577,RACS_0548-28
20609,20578,RACS_0612-28
20609,20579,RACS_0628-23
20609,20580,RACS_0651-23
20609,20581,RACS_0714-23
20609,20582,RACS_0724-28
20609,20583,RACS_0748-28
20609,20584,RACS_0759-23
20609,20585,RACS_0822-23
20609,20586,RACS_0845-23
20609,20587,RACS_0908-23
20609,20588,RACS_0931-23
20609,20589,RACS_0954-23
20609,20590,RACS_0948-28
20609,20592,RACS_1146+41
20609,20593,RACS_1050+41
20609,20594,RACS_1120+37
20609,20595,RACS_1146+37
20609,20596,RACS_1211+23
20609,20597,RACS_1233+18
20609,20598,RACS_1254+14
20609,20599,RACS_1316+14
20609,20600,RACS_1338+14
20609,20601,RACS_1400+14
20609,20602,RACS_1403+18
20609,20603,RACS_1428+23
20609,20604,RACS_1451+23
20609,20605,RACS_1514+23
20609,20606,RACS_1531+32
20609,20607,RACS_1555+32
20609,20608,RACS_1612+28
20609,20610,RACS_1909+41
20609,20611,RACS_1936+41
20609,20612,RACS_1938+37
20609,20613,RACS_2004+37
20609,20614,RACS_2030+37
20609,20615,RACS_2056+37
20609,20616,RACS_2122+37
20609,20617,RACS_2149+37
20609,20619,RACS_2257+32
20609,20620,RACS_2208+32
20609,20621,RACS_2233+32
20609,20622,RACS_2322+32
20609,20623,RACS_2347+32
20609,20624,RACS_2348+28
20609,20625,RACS_0012+28
20609,20627,RACS_0045+23
20609,20628,RACS_0056+18
20609,20629,RACS_0118+18
20609,20630,RACS_0141+18
20609,20631,RACS_0203+18
20609,20632,RACS_0226+18
20609,20633,RACS_0248+18
20609,20634,RACS_0311+18
20609,20635,RACS_0333+18
20609,20636,RACS_0356+18
20609,20637,RACS_0418+18
20609,20638,RACS_0434+23
20609,20639,RACS_0546+41
20609,20640,RACS_0613+41
20609,20641,RACS_0641+41
20609,20642,RACS_0709+41
20609,20643,RACS_0658+37
