id,field,selected,scheduled,sbid,observed,processed,quality,casda,cal_sbid
0,RACS_test4_1.05_1433-69A,1,1,9510,1,,,,9514
1,RACS_test4_1.05_1327-73A,1,1,9510,1,,,,9514
10,RACS_test4_1.05_0805-71A,1,1,9607,1,,,,9608
100,RACS_test4_1.05_2131-56A,1,1,8676,1,,,,8675
101,RACS_test4_1.05_2214-56A,1,1,8680,1,,,,8679
102,RACS_test4_1.05_2256-56A,1,1,8680,1,,,,8679
103,RACS_test4_1.05_2338-56A,1,1,8680,1,,,,8679
104,RACS_test4_1.05_0021-56A,1,1,8676,1,,,,8675
105,RACS_test4_1.05_0103-56A,1,1,8680,1,,,,8679
106,RACS_test4_1.05_0145-56A,1,1,8680,1,,,,8679
107,RACS_test4_1.05_0228-56A,1,1,8676,1,,,,8675
108,RACS_test4_1.05_0310-56A,1,1,8673,1,,,,8675
109,RACS_test4_1.05_0352-56A,1,1,8673,1,,,,8675
11,RACS_test4_1.05_1714-73A,1,1,9510,1,,,,9514
110,RACS_test4_1.05_0435-56A,1,1,8673,1,,,,8675
111,RACS_test4_1.05_0517-56A,1,1,8673,1,,,,8675
112,RACS_test4_1.05_0559-56A,1,1,8641,1,,,,8644
113,RACS_test4_1.05_0642-56A,1,1,8641,1,,,,8644
114,RACS_test4_1.05_0724-56A,1,1,8641,1,,,,8644
115,RACS_test4_1.05_0807-56A,1,1,8641,1,,,,8644
116,RACS_test4_1.05_0849-56A,1,1,8641,1,,,,8644
117,RACS_test4_1.05_0931-56A,1,1,8641,1,,,,8644
118,RACS_test4_1.05_1014-56A,1,1,8641,1,,,,8644
119,RACS_test4_1.05_1056-56A,1,1,8673,1,,,,8675
12,RACS_test4_1.05_1645-80A,1,1,9510,1,,,,9514
120,RACS_test4_1.05_1138-56A,1,1,8673,1,,,,8675
121,RACS_test4_1.05_1218-50A,1,1,8673,1,,,,8675
122,RACS_test4_1.05_1255-50A,1,1,8673,1,,,,8675
123,RACS_test4_1.05_1332-50A,1,1,8673,1,,,,8675
124,RACS_test4_1.05_1409-50A,1,1,8673,1,,,,8675
125,RACS_test4_1.05_1446-50A,1,1,8673,1,,,,8675
126,RACS_test4_1.05_1523-50A,1,1,8673,1,,,,8675
127,RACS_test4_1.05_1600-50A,1,1,8646,1,,,,8644
128,RACS_test4_1.05_1636-50A,1,1,8646,1,,,,8644
129,RACS_test4_1.05_1713-50A,1,1,8598,1,,,,8594
13,RACS_test4_1.05_1459-85A,1,1,9510,1,,,,9514
130,RACS_test4_1.05_1750-50A,1,1,8646,1,,,,8644
131,RACS_test4_1.05_1827-50A,1,1,8674,1,,,,8675
132,RACS_test4_1.05_1904-50A,1,1,8646,1,,,,8644
133,RACS_test4_1.05_1941-50A,1,1,8674,1,,,,8675
134,RACS_test4_1.05_2018-50A,1,1,8646,1,,,,8644
135,RACS_test4_1.05_2055-50A,1,1,8674,1,,,,8675
136,RACS_test4_1.05_2132-50A,1,1,8646,1,,,,8644
137,RACS_test4_1.05_2209-50A,1,1,8676,1,,,,8675
138,RACS_test4_1.05_2246-50A,1,1,8676,1,,,,8675
139,RACS_test4_1.05_2323-50A,1,1,8680,1,,,,8679
14,RACS_test4_1.05_0900-85A,1,1,9510,1,,,,9514
140,RACS_test4_1.05_0000-50A,1,1,8676,1,,,,8675
141,RACS_test4_1.05_0036-50A,1,1,8676,1,,,,8675
142,RACS_test4_1.05_0113-50A,1,1,8676,1,,,,8675
143,RACS_test4_1.05_0150-50A,1,1,8676,1,,,,8675
144,RACS_test4_1.05_0227-50A,1,1,8676,1,,,,8675
145,RACS_test4_1.05_0304-50A,1,1,8673,1,,,,8675
146,RACS_test4_1.05_0341-50A,1,1,8641,1,,,,8644
147,RACS_test4_1.05_0418-50A,1,1,8641,1,,,,8644
148,RACS_test4_1.05_0455-50A,1,1,8641,1,,,,8644
149,RACS_test4_1.05_0532-50A,1,1,8641,1,,,,8644
15,RACS_test4_1.05_0714-80A,1,1,9510,1,,,,9514
150,RACS_test4_1.05_0609-50A,1,1,8641,1,,,,8644
151,RACS_test4_1.05_0646-50A,1,1,8641,1,,,,8644
152,RACS_test4_1.05_0723-50A,1,1,8641,1,,,,8644
153,RACS_test4_1.05_0800-50A,1,1,8641,1,,,,8644
154,RACS_test4_1.05_0836-50A,1,1,8641,1,,,,8644
155,RACS_test4_1.05_0913-50A,1,1,8641,1,,,,8644
156,RACS_test4_1.05_0950-50A,1,1,8641,1,,,,8644
157,RACS_test4_1.05_1027-50A,1,1,8641,1,,,,8644
158,RACS_test4_1.05_1104-50A,1,1,8641,1,,,,8644
159,RACS_test4_1.05_1141-50A,1,1,8641,1,,,,8644
16,RACS_test4_1.05_0645-73A,1,1,9607,1,,,,9608
160,RACS_test4_1.05_1216-43A,1,1,8673,1,,,,8675
161,RACS_test4_1.05_1250-43A,1,1,8598,1,,,,8594
162,RACS_test4_1.05_1323-43A,1,1,8673,1,,,,8675
163,RACS_test4_1.05_1357-43A,1,1,8598,1,,,,8594
164,RACS_test4_1.05_1430-43A,1,1,8598,1,,,,8594
165,RACS_test4_1.05_1504-43A,1,1,8598,1,,,,8594
166,RACS_test4_1.05_1537-43A,1,1,8598,1,,,,8594
167,RACS_test4_1.05_1611-43A,1,1,8646,1,,,,8644
168,RACS_test4_1.05_1644-43A,1,1,8593,1,,,,8594
169,RACS_test4_1.05_1718-43A,1,1,8593,1,,,,8594
17,RACS_test4_1.05_1845-73A,1,1,9515,1,,,,9514
170,RACS_test4_1.05_1751-43A,1,1,8593,1,,,,8594
171,RACS_test4_1.05_1825-43A,1,1,8598,1,,,,8594
172,RACS_test4_1.05_1858-43A,1,1,8600,1,,,,8594
173,RACS_test4_1.05_1932-43A,1,1,8600,1,,,,8594
174,RACS_test4_1.05_2005-43A,1,1,8600,1,,,,8594
175,RACS_test4_1.05_2039-43A,1,1,8600,1,,,,8594
176,RACS_test4_1.05_2112-43A,1,1,8646,1,,,,8644
177,RACS_test4_1.05_2146-43A,1,1,8600,1,,,,8594
178,RACS_test4_1.05_2219-43A,1,1,8600,1,,,,8594
179,RACS_test4_1.05_2253-43A,1,1,8600,1,,,,8594
18,RACS_test4_1.05_1914-80A,1,1,9515,1,,,,9514
180,RACS_test4_1.05_2326-43A,1,1,8600,1,,,,8594
181,RACS_test4_1.05_2359-43A,1,1,8600,1,,,,8594
182,RACS_test4_1.05_0033-43A,1,1,8600,1,,,,8594
183,RACS_test4_1.05_0106-43A,1,1,8600,1,,,,8594
184,RACS_test4_1.05_0140-43A,1,1,8595,1,,,,8594
185,RACS_test4_1.05_0213-43A,1,1,8595,1,,,,8594
186,RACS_test4_1.05_0247-43A,1,1,8595,1,,,,8594
187,RACS_test4_1.05_0320-43A,1,1,8641,1,,,,8644
188,RACS_test4_1.05_0354-43A,1,1,8641,1,,,,8644
189,RACS_test4_1.05_0427-43A,1,1,8641,1,,,,8644
19,RACS_test4_1.05_2100-85A,1,1,9515,1,,,,9514
190,RACS_test4_1.05_0501-43A,1,1,8641,1,,,,8644
191,RACS_test4_1.05_0534-43A,1,1,8641,1,,,,8644
192,RACS_test4_1.05_0608-43A,1,1,8641,1,,,,8644
193,RACS_test4_1.05_0641-43A,1,1,8641,1,,,,8644
194,RACS_test4_1.05_0715-43A,1,1,8641,1,,,,8644
195,RACS_test4_1.05_0748-43A,1,1,8641,1,,,,8644
196,RACS_test4_1.05_0822-43A,1,1,8641,1,,,,8644
197,RACS_test4_1.05_0855-43A,1,1,8641,1,,,,8644
198,RACS_test4_1.05_0929-43A,1,1,8641,1,,,,8644
199,RACS_test4_1.05_1002-43A,1,1,8641,1,,,,8644
2,RACS_test4_1.05_1200-74A,1,1,9510,1,,,,9514
20,RACS_test4_1.05_0259-85A,1,1,9515,1,,,,9514
200,RACS_test4_1.05_1036-43A,1,1,8641,1,,,,8644
201,RACS_test4_1.05_1109-43A,1,1,8641,1,,,,8644
202,RACS_test4_1.05_1143-43A,1,1,8598,1,,,,8594
203,RACS_test4_1.05_1215-37A,1,1,8597,1,,,,8594
204,RACS_test4_1.05_1245-37A,1,1,8597,1,,,,8594
205,RACS_test4_1.05_1316-37A,1,1,8593,1,,,,8594
206,RACS_test4_1.05_1347-37A,1,1,8593,1,,,,8594
207,RACS_test4_1.05_1417-37A,1,1,8593,1,,,,8594
208,RACS_test4_1.05_1448-37A,1,1,8593,1,,,,8594
209,RACS_test4_1.05_1519-37A,1,1,8593,1,,,,8594
21,RACS_test4_1.05_0445-80A,1,1,9510,1,,,,9514
210,RACS_test4_1.05_1549-37A,1,1,8593,1,,,,8594
211,RACS_test4_1.05_1620-37A,1,1,8593,1,,,,8594
212,RACS_test4_1.05_1651-37A,1,1,8593,1,,,,8594
213,RACS_test4_1.05_1721-37A,1,1,8593,1,,,,8594
214,RACS_test4_1.05_1752-37A,1,1,8593,1,,,,8594
215,RACS_test4_1.05_1822-37A,1,1,8593,1,,,,8594
216,RACS_test4_1.05_1853-37A,1,1,8593,1,,,,8594
217,RACS_test4_1.05_1924-37A,1,1,8598,1,,,,8594
218,RACS_test4_1.05_1954-37A,1,1,8598,1,,,,8594
219,RACS_test4_1.05_2025-37A,1,1,8598,1,,,,8594
22,RACS_test4_1.05_0514-73A,1,1,9607,1,,,,9608
220,RACS_test4_1.05_2056-37A,1,1,8598,1,,,,8594
221,RACS_test4_1.05_2126-37A,1,1,8595,1,,,,8594
222,RACS_test4_1.05_2157-37A,1,1,8595,1,,,,8594
223,RACS_test4_1.05_2228-37A,1,1,8595,1,,,,8594
224,RACS_test4_1.05_2258-37A,1,1,8595,1,,,,8594
225,RACS_test4_1.05_2329-37A,1,1,8595,1,,,,8594
226,RACS_test4_1.05_0000-37A,1,1,8595,1,,,,8594
227,RACS_test4_1.05_0030-37A,1,1,8595,1,,,,8594
228,RACS_test4_1.05_0101-37A,1,1,8595,1,,,,8594
229,RACS_test4_1.05_0131-37A,1,1,8587,1,,,,8585
23,RACS_test4_1.05_2005-71A,1,1,9515,1,,,,9514
230,RACS_test4_1.05_0202-37A,1,1,8587,1,,,,8585
231,RACS_test4_1.05_0233-37A,1,1,8587,1,,,,8585
232,RACS_test4_1.05_0303-37A,1,1,8587,1,,,,8585
233,RACS_test4_1.05_0334-37A,1,1,8587,1,,,,8585
234,RACS_test4_1.05_0405-37A,1,1,8595,1,,,,8594
235,RACS_test4_1.05_0435-37A,1,1,8587,1,,,,8585
236,RACS_test4_1.05_0506-37A,1,1,8595,1,,,,8594
237,RACS_test4_1.05_0537-37A,1,1,8587,1,,,,8585
238,RACS_test4_1.05_0607-37A,1,1,8641,1,,,,8644
239,RACS_test4_1.05_0638-37A,1,1,8641,1,,,,8644
24,RACS_test4_1.05_2100-76A,1,1,9515,1,,,,9514
240,RACS_test4_1.05_0708-37A,1,1,8641,1,,,,8644
241,RACS_test4_1.05_0739-37A,1,1,8641,1,,,,8644
242,RACS_test4_1.05_0810-37A,1,1,8598,1,,,,8594
243,RACS_test4_1.05_0840-37A,1,1,8598,1,,,,8594
244,RACS_test4_1.05_0911-37A,1,1,8598,1,,,,8594
245,RACS_test4_1.05_0942-37A,1,1,8598,1,,,,8594
246,RACS_test4_1.05_1012-37A,1,1,8598,1,,,,8594
247,RACS_test4_1.05_1043-37A,1,1,8598,1,,,,8594
248,RACS_test4_1.05_1114-37A,1,1,8597,1,,,,8594
249,RACS_test4_1.05_1144-37A,1,1,8597,1,,,,8594
25,RACS_test4_1.05_2246-80A,1,1,9515,1,,,,9514
250,RACS_test4_1.05_1214-31A,1,1,8593,1,,,,8594
251,RACS_test4_1.05_1242-31A,1,1,8593,1,,,,8594
252,RACS_test4_1.05_1310-31A,1,1,8593,1,,,,8594
253,RACS_test4_1.05_1338-31A,1,1,8593,1,,,,8594
254,RACS_test4_1.05_1407-31A,1,1,8593,1,,,,8594
255,RACS_test4_1.05_1435-31A,1,1,8593,1,,,,8594
