BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5268197376.0,186.62489318847656,-39.15555953979492,297.6647033691406,23.461000442504883,8.227474212646484,7.106029987335205,51.48504638671875,8631360,2117039
1,5268197888.0,187.78599548339844,-39.180419921875,298.64434814453125,23.522319793701172,8.25401782989502,7.1789093017578125,50.02980041503906,8631360,1690078
2,5268197376.0,188.9472198486328,-39.19422912597656,299.6244812011719,23.576997756958008,8.213102340698242,7.187403202056885,48.78764343261719,8631360,1719901
3,5268197376.0,190.10850524902344,-39.19698715209961,300.6051940917969,23.625041961669922,8.177114486694336,7.203287124633789,47.551700592041016,8631360,1894003
4,5268197376.0,191.26976013183594,-39.1887092590332,301.5867004394531,23.666425704956055,8.062999725341797,7.141532897949219,44.50165939331055,8631360,2143999
5,5268197376.0,192.43092346191406,-39.169368743896484,302.5690612792969,23.701169967651367,8.023092269897461,7.150226593017578,43.15451431274414,8631360,2117441
6,5268197376.0,187.23385620117188,-38.390010833740234,298.0970764160156,24.270397186279297,8.259342193603516,7.172801494598389,51.56944274902344,8631360,1693121
7,5268197376.0,188.3824005126953,-38.40911865234375,299.08282470703125,24.328750610351562,8.22021770477295,7.185914039611816,50.38119888305664,8631360,1990317
8,5268197376.0,189.53102111816406,-38.417320251464844,300.06915283203125,24.38041114807129,8.184886932373047,7.200508117675781,49.20115280151367,8631360,2000245
9,5268197376.0,190.67965698242188,-38.414588928222656,301.0561828613281,24.425399780273438,8.11318302154541,7.176674842834473,48.02006149291992,8631360,2322019
10,5268197376.0,191.8282470703125,-38.40093231201172,302.0440673828125,24.46370506286621,8.001319885253906,7.11724853515625,44.927398681640625,8631360,2839793
11,5268197376.0,192.97674560546875,-38.37635040283203,303.032958984375,24.49530601501465,7.969855785369873,7.130784034729004,43.673458099365234,8631360,2705995
12,5268197376.0,186.69300842285156,-37.597320556640625,297.54278564453125,25.01618766784668,8.25107479095459,7.156928062438965,53.071739196777344,8631360,2166022
13,5268197376.0,187.82937622070312,-37.621639251708984,298.534423828125,25.078250885009766,8.221572875976562,7.17545747756958,51.93395233154297,8631360,1892769
14,5268197376.0,188.9658203125,-37.63515090942383,299.526611328125,25.133596420288086,8.1787691116333,7.177911758422852,50.76894760131836,8631360,1772052
15,5268197376.0,190.102294921875,-37.63785171508789,300.51947021484375,25.182231903076172,8.139613151550293,7.189242362976074,49.629398345947266,8631360,1580146
16,5268197376.0,191.23876953125,-37.6297492980957,301.51312255859375,25.224138259887695,8.10715389251709,7.204099178314209,48.55741882324219,8631360,1548859
17,5268197376.0,192.37518310546875,-37.61083221435547,302.5077209472656,25.259321212768555,7.911081790924072,7.260212421417236,48.29887008666992,8631360,2290576
18,5268197376.0,187.2874755859375,-36.83171844482422,297.9788818359375,25.825584411621094,8.224519729614258,7.165186405181885,53.39178466796875,8631360,1803095
19,5268197376.0,188.41220092773438,-36.85043716430664,298.9771728515625,25.884672164916992,8.184164047241211,7.172195911407471,52.30493927001953,8631360,1565103
20,5268197376.0,189.53697204589844,-36.85845947265625,299.9761047363281,25.937000274658203,8.146672248840332,7.1810302734375,51.236507415771484,8631360,1597345
21,5268197376.0,190.66177368164062,-36.85578155517578,300.975830078125,25.982576370239258,8.108476638793945,7.19119119644165,50.14864730834961,8631360,1679699
22,5268197376.0,191.78652954101562,-36.842411041259766,301.9764099121094,26.021373748779297,8.0739107131958,7.20245361328125,49.099491119384766,8631360,1578272
23,5268197376.0,192.91122436523438,-36.81835174560547,302.97802734375,26.05337905883789,8.040308952331543,7.21453857421875,48.07177734375,8631360,1869565
24,5268197376.0,186.75604248046875,-36.039268493652344,297.41571044921875,26.570850372314453,8.223926544189453,7.149291038513184,54.83820724487305,8631360,1649936
25,5268197376.0,187.86952209472656,-36.0630989074707,298.42041015625,26.633739471435547,8.187423706054688,7.1621832847595215,53.73853302001953,8631360,1832006
26,5268197376.0,188.9830322265625,-36.07633972167969,299.4256896972656,26.689823150634766,8.105804443359375,7.082595348358154,52.95854568481445,8631360,2087555
27,5268197376.0,190.0965576171875,-36.07898712158203,300.43170166015625,26.73910140991211,8.065659523010254,7.088400840759277,51.9387092590332,8631360,2128883
28,5268197376.0,191.21009826660156,-36.071048736572266,301.4385986328125,26.781566619873047,8.07542610168457,7.187274932861328,50.700618743896484,8631360,1768363
29,5268197376.0,192.32357788085938,-36.05250930786133,302.4464416503906,26.817214965820312,8.040054321289062,7.198614120483398,49.683265686035156,8631360,1565584
30,5268197376.0,187.33712768554688,-35.27307891845703,297.8558349609375,27.380855560302734,8.18918228149414,7.147172927856445,55.15532302856445,8631360,1687385
31,5268197376.0,188.43980407714844,-35.291439056396484,298.8677673339844,27.44076156616211,8.104735374450684,7.096061706542969,54.02545166015625,8631360,2258855
32,5268197376.0,189.54249572753906,-35.299312591552734,299.88037109375,27.493810653686523,8.119547843933105,7.172529220581055,53.20144271850586,8631360,1848841
33,5268197376.0,190.64520263671875,-35.296688079833984,300.8938293457031,27.540006637573242,8.144691467285156,7.052365303039551,53.7370491027832,8631360,2235893
34,5268197376.0,191.74789428710938,-35.2835807800293,301.9082336425781,27.579328536987305,8.04398250579834,7.186236381530762,51.27617263793945,8631360,1692911
35,5268197376.0,192.85055541992188,-35.25996780395508,302.9237060546875,27.611778259277344,8.006461143493652,7.191707134246826,50.308929443359375,8631360,1718638
