Component_ID,RA,DEC,RA_comp,DEC_comp
SB69271_component_5a,219.7234,37.176686,219.723379,37.176505
SB69271_component_6a,213.868619,37.105932,213.868612,37.105878
SB69271_component_7a,214.94429,38.363491,214.944224,38.363465
SB69271_component_9a,217.835629,39.878277,217.835577,39.878202
SB69271_component_11a,216.654482,36.419313,216.654531,36.419326
SB69271_component_22a,216.23129,36.260066,216.231298,36.260011
SB69271_component_31a,215.001489,37.359654,215.001421,37.359628
SB69271_component_32a,217.669126,36.817863,217.669099,36.817747
SB69271_component_33a,214.418494,38.305847,214.418524,38.305873
SB69271_component_47a,218.165968,36.302329,218.165957,36.302204
SB69271_component_80a,219.83572,37.201018,219.835741,37.200788
