Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB75656_component_3a,243.133803,-17.426727,347.2330017089844,1995.592041015625,243.13412499999995,-17.42672222222222,374.1,0.8599181008641033,0.9281823087649943
SB75656_component_6a,241.987056,-20.661788,307.8219909667969,1516.364501953125,241.98712499999996,-20.661805555555553,335.8,0.8492640790204353,0.9166825222358453
SB75656_component_7a,244.819352,-18.289371,265.3280029296875,1239.8504638671875,244.8197083333333,-18.28919444444444,296.0,0.8304532353428643,0.8963783882759713
SB75656_component_9a,247.804421,-17.235372,243.18800354003906,369.5866394042969,247.8045833333333,-17.235527777777776,195.3,1.1536224748295543,1.2452022710703485
SB75656_component_12a,245.181424,-19.666442,206.8470001220703,1142.8011474609375,245.1812083333333,-19.66633333333333,219.2,0.8742436392870137,0.9436450735495909
SB75656_component_13a,247.262523,-20.44857,206.27000427246094,825.0800170898438,247.26266666666663,-20.448805555555552,231.8,0.8244160728575131,0.8898619683885286
SB75656_component_17a,247.119369,-17.277553,185.82699584960938,962.8341674804688,247.1195833333333,-17.277638888888887,174.9,0.9843347125546468,1.0624756766701509
SB75656_component_30a,247.319744,-17.345176,132.30499267578125,544.4649658203125,247.31987499999997,-17.345305555555555,90.9,1.348454056604318,1.4555004694805418
SB75656_component_32a,245.14315,-18.056077,123.3499984741211,822.3333129882812,245.1432083333333,-18.056055555555552,125.2,0.9127642542017441,0.9852236299849927
SB75656_component_34a,241.707245,-19.485862,124.06400299072266,451.1418151855469,241.70724999999996,-19.485916666666665,114.1,1.007358254868221,1.0873269324340287
SB75656_component_35a,248.057463,-18.582914,132.2530059814453,212.6254119873047,248.05762499999997,-18.582861111111107,107.2,1.142969314092175,1.2337034140060197
SB75656_component_36a,245.587437,-17.071361,128.2740020751953,801.7125244140625,245.5875833333333,-17.07133333333333,128.7,0.9233873105289889,0.9966899928142605
SB75656_component_49a,242.815057,-16.093569,90.12200164794922,236.54067993164062,242.81529166666664,-16.09369444444444,99.2,0.8416721578379495,0.9084879198381978
SB75656_component_51a,243.490429,-20.571396,95.9729995727539,631.4013061523438,243.4907083333333,-20.571222222222218,94.0,0.9458995508943312,1.0209893571569564
SB75656_component_53a,242.173585,-17.187096,87.59200286865234,534.0975341796875,242.17345833333331,-17.18747222222222,88.1,0.9211118146792874,0.9942338577599585
SB75656_component_57a,241.123951,-20.821751,81.31400299072266,166.2863006591797,241.1242083333333,-20.82136111111111,72.4,1.0405203526334834,1.12312158826965
SB75656_component_61a,243.597963,-20.437169,72.51799774169922,496.6986083984375,243.5982083333333,-20.436916666666665,72.6,0.9254074427460379,0.9988704923099067
SB75656_component_64a,243.547022,-21.209565,70.56199645996094,196.55152893066406,243.5473333333333,-21.209305555555552,87.6,0.746260677711589,0.805502242693618
SB75656_component_67a,246.733674,-18.645634,70.13400268554688,419.964111328125,246.73366666666664,-18.64586111111111,68.1,0.9541250936096283,1.029867880845035
SB75656_component_69a,244.725508,-16.111034,66.00299835205078,199.4048309326172,244.72591666666665,-16.11111111111111,76.7,0.7972455525906569,0.8605345287099189
SB75656_component_70a,242.396352,-18.291666,64.55999755859375,408.6075744628906,242.39666666666665,-18.291749999999997,64.4,0.9287555931745944,1.0024844341396544
SB75656_component_71a,241.396751,-19.882151,61.17599868774414,99.15072631835938,241.39691666666664,-19.882305555555554,62.2,0.9112016289104284,0.9835369563946003
SB75656_component_75a,242.871662,-16.536695,60.61000061035156,346.3428649902344,242.87174999999996,-16.537055555555554,66.5,0.8443965444153865,0.9114285806067904
SB75656_component_76a,246.98047,-18.544861,60.34299850463867,324.4247131347656,246.98049999999998,-18.544916666666666,58.3,0.9589194694158403,1.035042855997233
SB75656_component_77a,243.669213,-16.126961,58.48400115966797,195.59866333007812,243.66924999999998,-16.126861111111108,66.7,0.8123347790804211,0.8768216065917236
SB75656_component_78a,241.05854,-17.592623,61.849998474121094,82.24734497070312,241.05829166666663,-17.59272222222222,59.0,0.971206288730818,1.0483050588834084
SB75656_component_81a,247.793095,-18.384786,59.33599853515625,242.187744140625,247.79329166666665,-18.38486111111111,57.2,0.9610501055687488,1.0373426317335008
SB75656_component_83a,243.607104,-21.049126,57.75400161743164,247.8712615966797,243.60704166666665,-21.049027777777773,52.2,1.0250271811629492,1.1063984984182307
SB75656_component_85a,247.016524,-19.999123,57.80799865722656,359.055908203125,247.0167083333333,-19.999166666666664,60.4,0.8866961030415061,0.9570860704838835
SB75656_component_93a,245.595041,-19.712389,53.275001525878906,388.86865234375,245.5950833333333,-19.712527777777776,67.9,0.7269047399923856,0.7846097426491738
SB75656_component_96a,243.675517,-21.273781,52.28799819946289,152.44314575195312,243.67587499999996,-21.27369444444444,48.2,1.0050294353655256,1.084813240652757
SB75656_component_97a,245.670221,-18.372673,52.04499816894531,323.2608642578125,245.6703333333333,-18.372944444444443,48.0,1.0045268846587507,1.0842707951863606
SB75656_component_101a,246.502315,-21.306884,46.263999938964844,106.84526824951172,246.50279166666664,-21.30708333333333,45.2,0.9482624386263965,1.023539821658514
SB75656_component_103a,246.535521,-21.285906,47.082000732421875,122.92951202392578,246.53604166666665,-21.28636111111111,41.6,1.0485409190977872,1.1317788637601411
SB75656_component_105a,246.405408,-18.423633,49.2599983215332,293.21429443359375,246.40566666666663,-18.42375,48.7,0.9371071160267277,1.0114989388405176
SB75656_component_108a,243.791693,-19.717321,43.117000579833984,285.5430603027344,243.7920833333333,-19.71711111111111,42.4,0.9421205769050907,1.0169103910338204
SB75656_component_109a,240.931628,-20.261554,46.417999267578125,55.59041976928711,240.93166666666664,-20.26169444444444,44.3,0.9707479797144816,1.0478103672139532
SB75656_component_112a,244.7689,-18.176146,43.5369987487793,310.9785461425781,244.76924999999997,-18.175805555555552,45.6,0.8845399428462646,0.954758744490774
SB75656_component_116a,246.507974,-16.442872,41.722999572753906,223.1176300048828,246.50787499999996,-16.443194444444444,42.8,0.9031410004603105,0.9748364386157455
SB75656_component_121a,241.091026,-17.642366,43.051998138427734,57.098140716552734,241.09104166666663,-17.642527777777776,36.3,1.0987793580373628,1.1860054583588908
SB75656_component_122a,242.608057,-16.189416,44.16400146484375,170.5173797607422,242.6083333333333,-16.189527777777776,30.7,1.3327658140899625,1.4385668229590798
SB75656_component_125a,243.956673,-17.832105,40.900001525878906,282.0689697265625,243.95679166666665,-17.83222222222222,42.0,0.9021896449126288,0.973809560139974
SB75656_component_130a,247.846333,-18.404716,39.60599899291992,145.6102752685547,247.84649999999996,-18.40469444444444,35.7,1.0278188072703687,1.1094117364963563
SB75656_component_132a,241.474958,-19.866654,37.22800064086914,75.66666412353516,241.47491666666664,-19.866833333333332,39.2,0.8798475923669582,0.9496938938997229
SB75656_component_134a,245.077944,-17.154563,37.63100051879883,247.57237243652344,245.07816666666665,-17.154666666666664,45.5,0.766228272992128,0.8270549564571171
SB75656_component_137a,246.836947,-16.063718,35.05799865722656,99.88033294677734,246.8368333333333,-16.064027777777774,36.9,0.8802064732915115,0.9500812644234841
SB75656_component_138a,246.740363,-20.681067,34.0880012512207,231.8911590576172,246.7405833333333,-20.68136111111111,34.3,0.9207277260796225,0.9938192784612451
SB75656_component_144a,245.567635,-17.53807,36.21799850463867,280.75970458984375,245.5678333333333,-17.53811111111111,32.8,1.0229971104677744,1.1042072714828863
SB75656_component_146a,244.102049,-19.471005,35.57099914550781,250.49998474121094,244.10224999999997,-19.47083333333333,42.4,0.7772379754015195,0.8389386590921654
SB75656_component_147a,245.466627,-19.238015,33.5880012512207,252.54136657714844,245.46662499999996,-19.237999999999996,33.3,0.9344664884314507,1.008648686222844
SB75656_component_148a,244.345593,-20.435938,33.527000427246094,236.1056365966797,244.34624999999997,-20.43597222222222,32.2,0.9646341495261385,1.0412111933927357
SB75656_component_149a,246.322465,-17.681034,33.17499923706055,215.4220733642578,246.3225833333333,-17.681055555555552,30.7,1.001143542231139,1.0806188676566955
SB75656_component_150a,246.670702,-17.933147,32.15700149536133,196.0792694091797,246.67087499999997,-17.933388888888885,37.4,0.796576972977233,0.8598128742075222
