Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB68063_component_5a,182.396742,-40.270439,438.1860046386719,1788.5142822265625,182.39683532714844,-40.27030944824219,456.43475341796875,1.2195862531661987,0.9600189328193665
SB68063_component_7a,185.168878,-44.454758,374.42498779296875,637.8619995117188,185.16891479492188,-44.45466613769531,567.36865234375,0.8383632302284241,0.6599324345588684
SB68063_component_14a,183.846324,-43.194536,233.23899841308594,975.8954467773438,183.84629821777344,-43.194366455078125,322.2624206542969,0.9194417595863342,0.7237548828125
SB68063_component_15a,186.861072,-44.610718,252.302001953125,283.48541259765625,186.8610382080078,-44.61061477661133,245.23703002929688,1.306975245475769,1.0288087129592896
SB68063_component_18a,185.54221,-41.382733,215.45899963378906,1110.6134033203125,185.5422821044922,-41.38256072998047,231.86561584472656,1.1804864406585693,0.9292408227920532
SB68063_component_21a,182.444836,-44.426696,188.48500061035156,414.25274658203125,182.44480895996094,-44.426544189453125,234.1614990234375,1.0225722789764404,0.8049359321594238
SB68063_component_23a,184.868748,-43.638697,178.03599548339844,774.0695190429688,184.86874389648438,-43.638587951660156,252.9352264404297,0.8941928744316101,0.7038797736167908
SB68063_component_24a,186.646788,-41.990477,160.4530029296875,619.5096435546875,186.64686584472656,-41.99031448364258,215.72210693359375,0.9449001550674438,0.7437949180603027
SB68063_component_25a,184.988262,-40.193178,153.12100219726562,651.5787353515625,184.98834228515625,-40.19309997558594,163.9220733642578,1.186670184135437,0.9341084957122803
SB68063_component_26a,185.484293,-44.34391,148.88999938964844,341.4908447265625,185.4843292236328,-44.34381866455078,204.38502502441406,0.9254419207572937,0.7284780144691467
SB68063_component_29a,181.565723,-43.119217,130.38800048828125,693.55322265625,181.5657196044922,-43.119049072265625,179.37852478027344,0.923421323299408,0.7268874645233154
SB68063_component_33a,185.279144,-40.187602,121.39600372314453,578.0762329101562,185.27923583984375,-40.18750762939453,164.24264526367188,0.9389687776565552,0.7391259670257568
SB68063_component_35a,181.998845,-41.831474,123.16799926757812,680.4862060546875,181.99888610839844,-41.8313102722168,150.0279083251953,1.0429381132125854,0.8209672570228577
SB68063_component_41a,181.077599,-42.137576,98.40799713134766,517.9368286132812,181.07766723632812,-42.137413024902344,98.44564819335938,1.269891381263733,0.9996175169944763
SB68063_component_43a,183.245354,-41.642757,87.58100128173828,468.34759521484375,183.2454833984375,-41.642581939697266,83.8853530883789,1.3263448476791382,1.0440559387207031
SB68063_component_45a,181.841363,-44.250271,88.8949966430664,276.0714111328125,181.8413543701172,-44.2501220703125,91.2335205078125,1.2378145456314087,0.9743677377700806
SB68063_component_47a,179.696608,-39.856481,90.13700103759766,140.61935424804688,179.69662475585938,-39.85637664794922,118.2017822265625,0.9687501192092896,0.7625688910484314
SB68063_component_49a,179.776065,-42.271295,92.03099822998047,420.2328796386719,179.7760772705078,-42.271141052246094,124.1652603149414,0.9416006803512573,0.7411976456642151
SB68063_component_50a,183.014138,-42.394423,95.95800018310547,545.2159423828125,183.01419067382812,-42.39426040649414,136.58981323242188,0.8924739956855774,0.7025267481803894
SB68063_component_51a,182.662358,-41.172192,91.25599670410156,512.6741333007812,182.66246032714844,-41.17206954956055,120.98237609863281,0.958234965801239,0.7542916536331177
SB68063_component_53a,182.686641,-43.910383,83.71399688720703,408.3609619140625,182.68658447265625,-43.91021728515625,99.20113372802734,1.0720478296279907,0.8438814282417297
SB68063_component_55a,180.238002,-44.22289,84.71099853515625,255.92446899414062,180.23800659179688,-44.2227897644043,107.80252838134766,0.9982597827911377,0.7857978940010071
SB68063_component_56a,187.011135,-42.818735,85.85900115966797,378.2334899902344,187.0112762451172,-42.81861114501953,125.64366912841797,0.8681163787841797,0.6833531856536865
SB68063_component_57a,185.676463,-40.641014,81.96299743652344,452.8342590332031,185.6765899658203,-40.6408805847168,108.10099029541016,0.9632097482681274,0.7582076191902161
SB68063_component_62a,183.041444,-41.623214,72.1969985961914,381.9947204589844,183.0415496826172,-41.623069763183594,63.885101318359375,1.4356621503829956,1.1301069259643555
SB68063_component_63a,187.698911,-42.757666,68.33999633789062,148.56520080566406,187.6990509033203,-42.75755310058594,45.259376525878906,1.9182230234146118,1.5099632740020752
SB68063_component_64a,180.824486,-39.439325,76.23999786376953,238.99685668945312,180.82449340820312,-39.439178466796875,84.8541259765625,1.1414124965667725,0.8984830975532532
SB68063_component_65a,185.983764,-43.65703,79.37100219726562,402.89849853515625,185.98377990722656,-43.65692901611328,114.7913818359375,0.8783857822418213,0.6914369463920593
SB68063_component_66a,185.670587,-43.696376,72.63700103759766,342.62738037109375,185.67062377929688,-43.69626235961914,105.94744110107422,0.8709638714790344,0.6855946779251099
SB68063_component_67a,182.29461,-43.488535,72.48899841308594,375.5906677246094,182.29458618164062,-43.488372802734375,88.48121643066406,1.0407675504684448,0.8192586302757263
