Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB75480_component_4a,226.581757,9.580997,661.7269897460938,1957.772216796875,226.581696,9.580787,1096.875,0.8048468594937863,0.6032838652955841
SB75480_component_6a,225.753725,9.299761,417.7650146484375,1644.744140625,225.753703,9.299581,439.513,1.2680952791056814,0.9505179929795877
SB75480_component_8a,223.434314,10.432658,397.3179931640625,1608.574951171875,223.4345,10.431815,427.923,1.2386943225935432,0.9284801077858925
SB75480_component_11a,225.141658,8.661588,313.8819885253906,1281.1510009765625,225.14171,8.661591,334.282,1.2526938545347375,0.9389736465780109
SB75480_component_16a,223.163956,6.460592,283.4739990234375,243.7437744140625,223.164039,6.460539,281.336,1.344248205636188,1.0075994505624501
SB75480_component_18a,226.304829,6.909372,258.45599365234375,498.9497985839844,226.304924,6.909266,364.238,0.9466575409988012,0.7095799824629604
SB75480_component_20a,225.055829,8.923826,242.83799743652344,1103.80908203125,225.055874,8.923953,336.15,0.9637736995266275,0.7224096309282269
SB75480_component_21a,226.135335,9.481171,238.9510040283203,1057.3052978515625,226.135284,9.480984,381.69,0.835198337570155,0.6260342268026942
SB75480_component_22a,224.524866,8.924921,214.76400756835938,807.3834838867188,224.524916,8.924992,318.108,0.9006964513869589,0.675129225195089
SB75480_component_24a,222.629783,9.174442,196.9530029296875,530.8706665039062,222.629902,9.174194,206.35,1.2733555251539985,0.9544608816558638
SB75480_component_26a,223.256155,10.604795,191.2949981689453,865.5881958007812,223.256314,10.604095,196.249,1.3004321731775106,0.9747565499388293
SB75480_component_27a,226.105315,8.316349,190.52999877929688,882.0833129882812,226.105422,8.316168,187.142,1.3582622844895809,1.018103893189647
SB75480_component_28a,224.468791,9.637914,184.5850067138672,835.2262573242188,224.468868,9.637651,157.276,1.5657611385969332,1.1736374698864873
