Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB67772_component_2a,27.120465,10.472532,486.32501220703125,1654.166748046875,27.12005,10.47241,894.7,3.006785135537436,0.5435621014943905
SB67772_component_5a,29.036961,11.412078,332.68499755859375,1188.16064453125,29.03688,11.41227,1031.3,1.7844378419499534,0.32258799336623073
SB67772_component_6a,23.412399,10.328762,311.51800537109375,239.07752990722656,23.41228,10.32891,1071.4,1.6083654562596277,0.2907578918901379
SB67772_component_8a,25.366698,9.324072,287.9620056152344,1241.215576171875,25.36646,9.32429,770.8,2.066553767803375,0.3735884867867597
SB67772_component_9a,26.865755,7.250698,238.8249969482422,1007.7003784179688,26.86572,7.25091,737.3,1.791796865541863,0.32391834660008434
SB67772_component_11a,24.98832,8.407204,221.6510009765625,883.07177734375,24.98814,8.40794,47.5,25.812455058025655,4.6663368626644735
SB67772_component_12a,24.221536,10.838547,214.95799255371094,721.3355102539062,24.22145,10.83871,700.5,1.6974566172102181,0.3068636581780313
SB67772_component_14a,24.352152,8.726959,209.0030059814453,839.3695068359375,24.35198,8.72651,609.2,1.8977799905220065,0.34307781677847227
SB67772_component_17a,28.154319,7.25181,175.08099365234375,806.8248901367188,28.1542,7.25196,677.2,1.4301292158578172,0.2585366120087769
SB67772_component_18a,24.912982,12.231174,163.9550018310547,136.51541137695312,24.91286,12.23126,887.3,1.022133010647715,0.18477967072135096
SB67772_component_21a,27.171883,9.456271,137.0500030517578,563.9917602539062,27.17202,9.45658,129.1,5.872270231630864,1.0615801940492473
SB67772_component_23a,29.974285,9.517239,145.3780059814453,368.9797058105469,29.97433,9.51707,431.3,1.8645433076689313,0.3370693391640281
SB67772_component_24a,29.442526,11.46824,123.40899658203125,482.0663757324219,29.44234,11.46831,465.0,1.4680711150893222,0.26539569157426074
SB67772_component_25a,25.059891,8.630356,129.97999572753906,621.913818359375,25.0597,8.6306,897.7,0.8009372987403726,0.14479224209372737
SB67772_component_27a,25.112351,11.742329,122.4209976196289,364.34820556640625,25.11203,11.74269,121.9,5.555273359550175,1.0042739755506882
SB67772_component_28a,23.569202,10.428359,117.9749984741211,184.04837036132812,23.56914,10.42849,454.9,1.4345882490316766,0.2593427093297892
SB67772_component_29a,28.511518,8.39735,109.22699737548828,510.4065246582031,28.51176,8.39763,195.5,3.090554873514416,0.5587058689283289
SB67772_component_31a,28.461317,9.266495,106.77400207519531,494.3240661621094,28.46164,9.26697,356.5,1.6567585194497025,0.2995063171814735
SB67772_component_32a,24.709821,7.777517,97.03700256347656,449.245361328125,24.70973,7.77786,489.2,1.0972463632283778,0.19835854980269127
SB67772_component_34a,26.409513,10.573306,93.14399719238281,445.6650390625,26.40941,10.57302,293.3,1.7566936601410208,0.3175724418424235
SB67772_component_36a,25.267897,9.585024,92.93599700927734,422.43634033203125,25.26744,9.58506,431.5,1.1913966864323224,0.21537890384537045
SB67772_component_38a,25.188726,10.340424,91.27300262451172,447.41668701171875,25.18856,10.34041,526.2,0.9594994268352665,0.17345686549698158
SB67772_component_41a,26.538996,10.761782,84.74099731445312,409.3768005371094,26.53879,10.76159,277.6,1.6886021374596514,0.3052629586255516
SB67772_component_42a,25.583366,10.664087,84.46800231933594,439.9375,25.58328,10.66415,520.3,0.8980316081075418,0.16234480553399183
SB67772_component_48a,28.59877,7.880718,77.06300354003906,335.0565185546875,28.59884,7.88091,295.1,1.4445412492545768,0.26114199776360236
SB67772_component_49a,26.849319,11.602047,75.41799926757812,326.4848327636719,26.84935,11.602,170.6,2.445396046474548,0.44207502501511214
SB67772_component_50a,27.560803,6.776793,82.18099975585938,181.0154266357422,27.56068,6.7769,265.6,1.711577525335405,0.3094164147434464
SB67772_component_52a,27.873975,7.567457,69.41799926757812,389.9887390136719,27.87365,7.56759,66.2,5.8005253430953685,1.0486102608395487
SB67772_component_54a,25.208693,8.338823,78.54199981689453,400.7244873046875,25.20861,8.33912,355.3,1.2228127913214726,0.22105826010946955
SB67772_component_56a,29.673721,10.1024,69.78600311279297,226.5779266357422,29.67374,10.10213,303.4,1.2723481849129326,0.23001319417532293
SB67772_component_58a,28.368976,10.275146,69.09700012207031,352.5357360839844,28.3691,10.27544,479.9,0.7964557799364704,0.1439820798542828
SB67772_component_63a,24.20467,9.417268,68.5989990234375,226.3993377685547,24.20412,9.41683,361.8,1.0488235774615313,0.18960475130856136
SB67772_component_64a,26.147252,7.48335,65.44999694824219,337.37109375,26.14724,7.48348,161.1,2.2473324138699935,0.40626937894625814
SB67772_component_65a,28.048781,9.139708,72.35299682617188,358.1831359863281,28.04895,9.14027,277.5,1.442270638130115,0.26073152009431305
SB67772_component_66a,29.463768,8.462814,62.034000396728516,241.37744140625,29.46385,8.46279,249.8,1.3736958303462927,0.24833466932237194
SB67772_component_69a,25.767848,11.657379,63.138999938964844,258.7663879394531,25.76806,11.65756,122.0,2.8628005612926657,0.5175327863849577
SB67772_component_70a,24.772097,11.327473,62.507999420166016,322.2061767578125,24.77203,11.32748,343.2,1.0074918597201519,0.18213286544337418
SB67772_component_71a,26.774589,7.291296,60.720001220703125,286.41510009765625,26.77451,7.29144,237.6,1.413639139085865,0.25555556069319496
SB67772_component_86a,26.465633,9.165383,56.04399871826172,291.89581298828125,26.46568,9.166,97.8,3.169884842875522,0.5730470216591178
SB67772_component_88a,24.68175,10.269608,51.94200134277344,239.36407470703125,24.68195,10.26947,101.4,2.833570025125854,0.5122485339524008
SB67772_component_90a,29.923531,7.595304,50.72100067138672,94.80560302734375,29.92369,7.5953,284.4,0.9865326125647476,0.1783438842172529
SB67772_component_93a,29.956743,7.630947,52.41400146484375,92.11599731445312,29.95671,7.6309,139.3,2.0813706475078266,0.3762670600491295
SB67772_component_95a,24.353306,9.511869,50.75899887084961,164.26861572265625,24.35287,9.51137,116.3,2.4142740072485456,0.43644882949999664
SB67772_component_106a,28.999819,8.052938,45.41299819946289,198.31002807617188,29.00028,8.05319,93.1,2.6982595315295685,0.48778730611667986
SB67772_component_109a,24.335064,8.31182,43.78200149536133,156.9247283935547,24.33508,8.312,339.7,0.7129405062188553,0.12888431408702186
SB67772_component_112a,29.893311,10.784683,46.99100112915039,100.40812683105469,29.89325,10.78427,74.3,3.4984776956509887,0.6324495441339218
SB67772_component_123a,29.786981,8.07985,40.78799819946289,151.066650390625,29.78695,8.07994,222.7,1.0131305236230068,0.18315221463611536
SB67772_component_124a,24.147481,7.233313,40.499000549316406,161.99600219726562,24.14752,7.23344,95.7,2.340914724795332,0.4231870485821986
