Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB69335_component_2a,165.547784,-13.504834,620.9739990234375,1983.9425048828125,165.54805,-13.5049,2262.2,1.5184330347022146,0.27450004377306936
SB69335_component_3a,169.391904,-11.397324,482.85198974609375,553.7293701171875,169.39191,-11.39738,2322.5,1.1500362458582407,0.20790182550962055
SB69335_component_6a,166.45052,-13.522844,363.9830017089844,1255.1138916015625,166.45081,-13.52282,1849.0,1.0889236159385745,0.19685397604596233
SB69335_component_7a,163.857253,-16.58283,310.0799865722656,517.6627807617188,163.85715,-16.58262,2015.2,0.8511552997395939,0.15387057690168005
SB69335_component_8a,164.980616,-11.305208,281.34100341796875,408.9258728027344,164.9807,-11.30522,2540.2,0.6126583344672917,0.1107554536721395
SB69335_component_9a,163.443791,-11.69182,277.7300109863281,276.07354736328125,163.44374,-11.69181,998.1,1.539224549088741,0.27825870252111823
SB69335_component_11a,169.280051,-12.847677,246.0229949951172,438.5436706542969,169.27998,-12.84731,945.1,1.4399624381295273,0.26031424716444523
SB69335_component_13a,167.54205,-11.765602,231.0399932861328,724.2633056640625,167.54239,-11.76583,314.6,4.062390524525677,0.7343928585064615
SB69335_component_20a,164.801643,-11.573115,177.6009979248047,425.90167236328125,164.80188,-11.57297,174.3,5.636392653443277,1.0189385996833316
SB69335_component_24a,165.889774,-16.650664,153.43299865722656,286.7906494140625,165.88992,-16.65052,638.6,1.329055399663694,0.24026463930038608
SB69335_component_25a,169.615646,-13.885599,151.32400512695312,277.1501770019531,169.61562,-13.88578,482.5,1.7348572095257577,0.3136248810921308
SB69335_component_26a,164.568318,-16.436058,153.0189971923828,447.4239501953125,164.56825,-16.43604,1306.8,0.6477231977065964,0.1170944269914163
SB69335_component_27a,169.475647,-16.156242,153.97799682617188,157.44171142578125,169.47549,-16.15549,188.8,4.511385101464177,0.8155614238674357
SB69335_component_28a,169.678792,-12.262478,147.1219940185547,227.0401153564453,169.67888,-12.26212,351.7,2.313973919292173,0.41831673022051374
SB69335_component_30a,169.954918,-15.554914,144.09800720214844,253.69366455078125,169.95518,-15.55504,403.7,1.9744786903214078,0.3569432925492902
SB69335_component_31a,163.171925,-14.883718,137.50399780273438,202.21176147460938,163.17175,-14.88371,174.8,4.351381112581612,0.7866361430362377
SB69335_component_32a,167.228523,-16.158797,129.7989959716797,489.80755615234375,167.22874,-16.15871,509.7,1.4086721388345231,0.2546576338467328
SB69335_component_33a,166.260475,-16.680119,131.2790069580078,225.56529235839844,166.2608,-16.67986,287.0,2.530268516599763,0.4574181427108286
SB69335_component_37a,168.853904,-16.527145,116.20800018310547,252.62608337402344,168.85434,-16.52735,69.1,9.302746909208015,1.6817366162533354
SB69335_component_38a,165.21789,-15.613479,118.41300201416016,574.8203735351562,165.2179,-15.61344,755.1,0.867457381243865,0.1568176427150843
SB69335_component_42a,168.089957,-16.545887,115.13899993896484,243.42283630371094,168.08997,-16.54566,213.4,2.9845665239610613,0.5395454542594417
SB69335_component_47a,165.695974,-16.85966,116.4280014038086,140.10589599609375,165.69641,-16.85991,1133.3,0.568284458718192,0.10273361105074437
SB69335_component_48a,168.78005,-15.316536,108.21600341796875,462.4615478515625,168.78059,-15.31637,617.2,0.9698817756803407,0.17533377092995583
SB69335_component_52a,166.069162,-12.808465,98.13099670410156,462.882080078125,166.06937,-12.80831,180.2,3.0123445789371406,0.5445671293235381
SB69335_component_53a,168.967047,-14.341062,101.83699798583984,353.6007080078125,168.96687,-14.3413,37.0,15.224992589784849,2.7523512969145902
SB69335_component_57a,169.887924,-12.096721,98.16300201416016,113.3521957397461,169.88792,-12.09673,417.8,1.2996685847282012,0.23495213502671172
SB69335_component_60a,169.728409,-12.392739,80.4010009765625,98.05000305175781,169.72862,-12.39259,418.2,1.0634832466832185,0.19225490429594094
SB69335_component_67a,169.908781,-13.347544,76.09400177001953,79.8468017578125,169.90874,-13.34742,413.4,1.0182001986736906,0.18406870287861524
SB69335_component_68a,169.610409,-11.207165,81.16200256347656,70.94580078125,169.61049,-11.20714,342.7,1.3100620775092786,0.23683105504370167
SB69335_component_69a,164.119993,-11.785125,76.5979995727539,306.3919982910156,164.1198,-11.7848,60.6,6.991945415078457,1.2639933922896684
SB69335_component_72a,165.919505,-13.122992,72.93000030517578,370.20306396484375,165.91988,-13.123,121.2,3.3285633051755634,0.6017326757852787
SB69335_component_75a,168.784211,-16.832863,73.0459976196289,72.17984008789062,168.78435,-16.83261,161.2,2.506597561804749,0.4531389430498071
SB69335_component_78a,169.596781,-14.088718,70.25199890136719,112.58332824707031,169.59666,-14.08892,41.1,9.455186282081364,1.7092943771622187
SB69335_component_79a,166.776244,-12.441966,69.33100128173828,308.1377868652344,166.77669,-12.44243,33.3,11.516923030966304,2.082012050502651
SB69335_component_80a,168.836802,-13.378666,69.0459976196289,331.951904296875,168.83685,-13.37858,398.2,0.9591587186150073,0.17339527277656683
SB69335_component_81a,168.257946,-11.814675,67.27200317382812,258.7384948730469,168.25809,-11.8146,96.0,3.8762908181817983,0.7007500330607096
SB69335_component_82a,167.164433,-13.121448,67.51699829101562,349.8290100097656,167.16478,-13.12153,437.6,0.8534715292611356,0.154289301396288
SB69335_component_85a,166.61528,-16.555541,60.80699920654297,166.59451293945312,166.61559,-16.55531,164.7,2.0422701896086037,0.36919853798751046
SB69335_component_86a,166.668888,-16.585877,64.85399627685547,169.3315887451172,166.66911,-16.5851,160.3,2.2379812595398505,0.404578891309142
SB69335_component_87a,168.795384,-15.053745,59.10900115966797,268.6772766113281,168.79558,-15.05302,27.4,11.933182521192592,2.1572628160462766
SB69335_component_93a,164.511775,-12.837432,57.499000549316406,299.4739685058594,164.51184,-12.83732,230.2,1.3816823254006918,0.2497784559049366
SB69335_component_99a,168.276417,-15.378761,52.422000885009766,256.9706115722656,168.2766,-15.37825,207.1,1.4001891889948497,0.2531240989136155
SB69335_component_100a,166.12828,-12.710949,57.76100158691406,293.20306396484375,166.12886,-12.71075,285.8,1.1179585879920575,0.20210287469179167
SB69335_component_101a,169.803567,-12.498054,54.37699890136719,48.29218292236328,169.80336,-12.49728,54.7,5.498967262607887,0.9940950439006798
SB69335_component_108a,166.452516,-15.449164,52.37200164794922,281.56988525390625,166.45255,-15.4488,363.0,0.7980787980606137,0.14427548663346892
SB69335_component_109a,163.096984,-13.890561,49.236000061035156,64.109375,163.09702,-13.89058,425.5,0.6400831942486542,0.11571327863933056
SB69335_component_114a,164.727181,-14.636444,49.4379997253418,282.50286865234375,164.7271,-14.63599,244.2,1.1198721818959756,0.202448811324086
SB69335_component_115a,165.801227,-12.558017,49.520999908447266,253.953857421875,165.8015,-12.55821,145.0,1.8891856084826588,0.3415241372996363
SB69335_component_117a,167.143655,-14.057918,47.025001525878906,244.921875,167.14404,-14.05775,238.7,1.0897568933628528,0.19700461468738545
SB69335_component_128a,165.734444,-14.802301,43.30099868774414,229.10581970214844,165.73528,-14.80201,41.6,5.757816340752112,1.040889391532311
SB69335_component_129a,167.414568,-11.333964,42.0359992980957,75.33332824707031,167.41489,-11.33411,204.8,1.1353889138365687,0.20525390282273293
SB69335_component_130a,168.530517,-14.025289,41.638999938964844,209.2412109375,168.53038,-14.02499,167.7,1.3734740338201905,0.24829457327945645
SB69335_component_134a,169.159691,-16.438709,42.340999603271484,72.8760757446289,169.15974,-16.43849,239.5,0.9779323540256554,0.1767891423936179
SB69335_component_141a,164.297776,-13.394659,42.65399932861328,231.81521606445312,164.29805,-13.39452,284.7,0.828753768414305,0.1498208617092142
