Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB67981_component_6a,270.852622,-16.339724,404.9129943847656,1076.896240234375,270.85271100298456,-16.33975733127808,177.83761842799996,1.146482182084822,2.2768691909169956
SB67981_component_18a,271.712107,-16.464017,283.0190124511719,993.0491943359375,271.71219236424395,-16.46398649081798,139.74792370336002,1.019763530023761,2.0252108578867363
SB67981_component_19a,272.028139,-21.412607,270.1719970703125,291.1336364746094,272.0285162010311,-21.41246156846104,180.76970798402,0.7525648079126386,1.4945645489132264
SB67981_component_40a,273.319997,-20.262254,120.2239990234375,429.3714294433594,273.3202464670817,-20.26219204571327,92.58714505658,0.6538373205235536,1.2984955843488708
SB67981_component_43a,273.687689,-19.233339,114.01699829101562,473.0995788574219,273.68778141851124,-19.23332866927167,51.51508135774,1.1144598889451052,2.2132741575081463
SB67981_component_52a,275.272571,-21.179253,101.85099792480469,205.75958251953125,275.2727467774781,-21.17922922498587,77.84215652777,0.658839544861257,1.308429808062545
SB67981_component_57a,273.876623,-18.603659,92.322998046875,364.9130554199219,273.87651691735334,-18.60368641765674,71.97874691632,0.6458547327698394,1.2826424743710323
SB67981_component_66a,270.688462,-20.035009,74.78399658203125,307.7530822753906,270.68852851446604,-20.03508043012092,30.36726979632,1.2400298852091174,2.462651304632391
SB67981_component_69a,272.392815,-19.467917,75.35600280761719,146.89279174804688,272.3929393993642,-19.46789030345061,35.445882460490004,1.0704867339343505,2.1259451754830274
SB67981_component_70a,273.751222,-19.477834,74.61199951171875,289.1938171386719,273.7513429845925,-19.47779437427572,45.03003347179,0.8343257316241791,1.6569385754168047
SB67981_component_71a,275.743392,-19.500578,68.6709976196289,205.60179138183594,275.74337195640555,-19.50056765817261,32.42931098897,1.0662642889818434,2.11755956341427
SB67981_component_74a,271.172644,-17.053025,74.58200073242188,310.7583312988281,271.17269755758457,-17.05304201747101,35.00748933572,1.0727593127582227,2.1304584289717083
SB67981_component_75a,270.412931,-20.944822,71.39399719238281,209.9823455810547,270.41307566677,-20.94500011348727,38.30082406382,0.9386048817980017,1.864032927161573
SB67981_component_77a,271.343388,-16.65976,77.89299774169922,338.6651916503906,271.34341643620405,-16.65970865829884,36.24974936101,1.0819884855806465,2.1487872085946185
SB67981_component_78a,270.848734,-20.504564,71.7239990234375,281.2705993652344,270.8487992582212,-20.504717618791908,47.90683783722999,0.7538695806181819,1.4971557769504544
SB67981_component_82a,270.185746,-21.126675,67.41999816894531,167.71144104003906,270.1858822466411,-21.12680918769007,74.35189141032002,0.45658952584963614,0.9067691068796057
SB67981_component_84a,274.065136,-20.866493,70.31600189208984,288.1803283691406,274.0653970857362,-20.86655122770263,40.71065467837,0.8697116983733735,1.7272137342819367
