INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
0,0,RACS_1413-70,69341,0,69345,OBSERVED,14 13 40.491,-70 18 22.76,213.4187125,-70.3063222222222,309.804977885832,-8.53977156393277,99.976,5240936993.993086,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
1,1,RACS_1313-72,68299,0,68280,OBSERVED,13 13 21.588,-72 45 46.24,198.33995,-72.7628444444444,304.578509776225,-9.96121954061534,115.859,5238865202.835838,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
2,2,RACS_1200-73,68160,0,68173,OBSERVED,12 00 00,-73 39 49.07,180.0,-73.6636305555556,299.273559471896,-11.1583242937096,135.0,5238601871.339902,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
3,3,RACS_1046-72,68116,0,68132,OBSERVED,10 46 38.411,-72 45 46.24,161.660045833333,-72.7628444444444,293.899041212392,-12.1176143247702,154.141,5238512014.7869425,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
4,4,RACS_0946-70,67963,0,67979,OBSERVED,09 46 19.508,-70 18 22.76,146.581283333333,-70.3063222222222,288.46748378731,-12.8277934563129,170.024,5238254266.085758,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
5,5,RACS_1515-72,-1,-1,-1,--NULL--,15 15 34.107,-72 04 25.51,228.8921125,-72.0737527777778,313.609514005958,-12.2585661279755,84.701,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
6,6,RACS_1418-75,69386,0,69391,OBSERVED,14 18 42.284,-75 45 16.71,214.676183333333,-75.7546416666667,308.335577669397,-13.8065615350599,99.482,5241023950.049662,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
7,7,RACS_1252-78,68298,0,68280,OBSERVED,12 52 05.776,-78 00 42.46,193.024066666667,-78.0117944444445,302.967341285719,-15.1400921316402,121.696,5238864217.461119,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
8,8,RACS_1107-78,68122,0,68132,OBSERVED,11 07 54.223,-78 00 42.46,166.975929166667,-78.0117944444445,297.512560951995,-16.2437211838337,148.304,5238517678.203262,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
9,9,RACS_0941-75,67964,0,67979,OBSERVED,09 41 17.715,-75 45 16.71,145.3238125,-75.7546416666667,291.983293046439,-17.1039693867705,170.518,5238255241.507198,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
10,10,RACS_0844-72,68004,0,67979,OBSERVED,08 44 25.892,-72 04 25.51,131.107883333333,-72.0737527777778,286.395538794753,-17.7098521833922,-174.701,5238337169.940862,836.0755210202026,836.0755200000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
11,11,RACS_1625-72,68678,0,68653,OBSERVED,16 25 11.603,-72 19 38.12,246.298345833333,-72.3272555555556,317.617197992083,-15.873942655581,67.699,5239656571.761022,865.9353604595947,865.9353600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
12,12,RACS_1547-77,-1,-1,-1,--NULL--,15 47 19.608,-77 06 42.13,236.8317,-77.1117027777778,312.279997596946,-17.5556004808584,77.502,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
13,13,RACS_1430-81,69459,0,69447,OBSERVED,14 30 09.636,-81 08 49.22,217.54015,-81.1470055555556,306.829806020567,-19.0319089826967,97.128,5241196099.658111,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
14,14,RACS_1200-83,68161,0,68173,OBSERVED,12 00 00,-82 59 26.35,180.0,-82.9906527777778,301.272682252946,-20.2852082923636,135.0,5238602906.481023,836.075519112854,836.0755200000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
15,15,RACS_0929-81,68047,0,68031,OBSERVED,09 29 50.363,-81 08 49.22,142.459845833333,-81.1470055555556,295.61978296038,-21.299520323345,172.872,5238420604.305791,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
16,16,RACS_0812-77,68046,0,68031,OBSERVED,08 12 40.391,-77 06 42.13,123.168295833333,-77.1117027777778,289.887236425198,-22.0611732014545,-167.502,5238419618.93107,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
17,17,RACS_0734-72,68044,0,68031,OBSERVED,07 34 48.396,-72 19 38.12,113.70165,-72.3272555555556,284.095607153596,-22.5594377146938,-157.699,5238417628.27507,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
18,18,RACS_1726-73,69531,0,69524,OBSERVED,17 26 41.655,-73 38 12.38,261.6735625,-73.6367722222222,319.196717702986,-20.2978591530286,52.994,5241299339.170174,865.9353604595947,865.9353600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
19,19,RACS_1710-79,71865,0,71833,OBSERVED,17 10 49.671,-78 57 10.22,257.7069625,-78.9528388888889,313.715848372118,-22.027478553872,57.072,5248791439.774078,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
20,20,RACS_1626-84,-1,-1,-1,--NULL--,16 26 10.766,-84 07 01.029,246.544858333333,-84.1169525,308.100995120876,-23.5505956785659,68.345,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
21,21,RACS_1200-87,68294,0,68280,OBSERVED,12 00 00,-87 39 42.58,180.0,-87.6618277777778,302.358602755295,-24.8475678055451,135.0,5238860315.775358,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
22,22,RACS_0733-84,68108,0,68132,OBSERVED,07 33 49.233,-84 07 01.029,113.4551375,-84.1169525,296.501276578307,-25.9004325197255,-158.345,5238504231.321982,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
23,23,RACS_0649-79,68107,0,68132,OBSERVED,06 49 10.328,-78 57 10.22,102.293033333333,-78.9528388888889,290.547782008752,-26.6936697758284,-147.072,5238503245.947262,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
24,24,RACS_0633-73,68330,0,68356,OBSERVED,06 33 18.344,-73 38 12.38,98.3264333333333,-73.6367722222222,284.522501493974,-27.2149887905698,-142.994,5238933506.335102,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
25,25,RACS_1833-73,69288,0,69228,OBSERVED,18 33 18.344,-73 38 12.38,278.326433333333,-73.6367722222222,320.936959932992,-24.6893236067187,37.006,5240871130.153342,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
26,26,RACS_1849-79,69289,0,69228,OBSERVED,18 49 10.328,-78 57 10.22,282.293033333333,-78.9528388888889,315.292352338903,-26.4776309788828,32.928,5240872115.528062,895.7951998989868,895.7952000000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
27,27,RACS_1933-84,69347,0,69345,OBSERVED,19 33 49.233,-84 07 01.029,293.4551375,-84.1169525,309.487560271041,-28.0574003348434,21.655,5240957401.866622,915.7017598431396,915.7017600000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
28,28,RACS_0000-87,-1,-1,-1,--NULL--,00 00 00,-87 39 42.58,0.0,-87.6618277777778,303.52911905261,-29.4065119437026,-45.0,-1.0,-1.0,-1.0,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
29,29,RACS_0426-84,72232,0,72305,OBSERVED,04 26 10.766,-84 07 01.029,66.5448583333333,-84.1169525,297.431187751933,-30.5044799038369,-111.655,5249780096.532862,905.7484803479003,905.7484800000001,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,,0,1.0,
