INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV
0,0,RACS_1413-70,36751,0,36716,OBSERVED,14 13 40.491,-70 18 22.76,213.41871249999997,-70.30632222222222,309.80497788583244,-8.53977156393277,99.976,5150298752.557438,915.7017598431396,915.7017600000001,36,5152450625.311001,168681134,9.500000000000004,6.500000000000016,20.49,-0.016670282930135727,0.845923900604248,199.50287425138052,199.2646350086353,25.631822031573087,137.9678611670537,616.7999957560432,5152460963.0,2662,0,0,0,,100
1,1,RACS_1313-72,36654,0,36656,OBSERVED,13 13 21.588,-72 45 46.24,198.33995,-72.76284444444444,304.57850977622513,-9.96121954061534,115.859,5150121591.804286,915.7017598431396,915.7017600000001,36,5152476749.776001,169298581,10.199999999999989,6.699999999999996,13.03,-0.0039316387847065926,1.1238799095153809,182.19952763585005,181.93095508880634,23.508328873841833,130.0673460059028,490.75258564648584,5152486608.0,2747,0,0,0,,100
2,2,RACS_1200-73,36443,0,36447,OBSERVED,12 00 00,-73 39 49.07,179.99999999999997,-73.66363055555556,299.2735594718955,-11.158324293709606,135.0,5149773591.847294,975.4214406292724,975.4214400000001,36,5152314140.3689995,169355027,12.700000000000008,7.2,37.55,-0.004613785073161125,0.734548807144165,183.3181430712022,183.2230977244791,24.238408773101423,125.1141355159638,554.7800877078363,5152320758.0,2742,0,0,0,,100
3,3,RACS_1046-72,36472,0,36447,OBSERVED,10 46 38.411,-72 45 46.24,161.66004583333333,-72.76284444444444,293.8990412123923,-12.117614324770152,154.141,5149849754.345854,915.7017607968139,915.7017600000001,36,5152336040.564,169334272,11.7,7.400000000000016,13.23,-0.007592471782118082,2.057433605194092,178.03787107022274,177.7670531113526,23.671152127557928,123.53636230513995,849.9967265429543,5152343818.0,2710,0,0,0,,100
4,4,RACS_0946-70,36387,0,36349,OBSERVED,09 46 19.508,-70 18 22.76,146.58128333333332,-70.30632222222222,288.4674837873096,-12.827793456312929,170.024,5149678980.833662,905.7484803479003,905.7484800000001,36,5152234178.34,169013373,9.399999999999997,6.599999999999988,17.86,-0.0025792126543819904,0.48504942655563354,185.39819017527634,185.3872466868795,23.302798015332513,130.86323776980345,352.77267241142164,5152259452.0,2930,0,0,0,,100
5,5,RACS_1515-72,37229,0,37230,OBSERVED,15 15 34.107,-72 04 25.51,228.89211249999997,-72.07375277777777,313.60951400595815,-12.258566127975458,84.701,5150903063.29843,915.7017598431396,915.7017600000001,36,5151612981.421999,168525120,11.7,7.300000000000007,-17.69,-0.004119820427149534,0.849238395690918,188.03904443603696,187.76675582348855,23.666103519673186,128.73721423195062,431.99080233223975,5151622185.0,2531,0,0,0,,100
6,6,RACS_1418-75,37101,0,37102,OBSERVED,14 18 42.284,-75 45 16.71,214.6761833333333,-75.75464166666667,308.33557766939686,-13.80656153505988,99.482,5150638772.306302,905.7484803479003,905.7484800000001,36,5151767110.546999,168889614,10.699999999999992,6.900000000000012,-7.3,-0.0035812666174024343,0.9771972298622131,176.8439591947178,176.5249393125699,22.649434955870518,122.14430603298813,427.375171341836,5151776111.0,2720,0,0,0,,100
7,7,RACS_1252-78,36593,0,36547,OBSERVED,12 52 05.776,-78 00 42.46,193.02406666666664,-78.01179444444445,302.96734128571904,-15.140092131640234,121.696,5150030593.61011,905.7484803479003,905.7484800000001,36,5152420009.472,169003621,11.599999999999993,7.099999999999992,-5.61,-0.004539032932370901,0.44601741433143616,188.89617495752424,188.67942865893798,24.295509404710163,130.3222987102172,402.22722499612706,5152429335.0,2596,0,0,0,,100
8,8,RACS_1107-78,36474,0,36447,OBSERVED,11 07 54.223,-78 00 42.46,166.97592916666665,-78.01179444444445,297.5125609519951,-16.243721183833745,148.304,5149852143.133055,905.748479394226,905.7484800000001,36,5152336316.427,169280164,13.600000000000009,8.1,14.95,-0.007552335970103741,1.5674970149993896,181.1545112558963,180.80659448711623,26.55733186153842,126.42654124854494,725.6224160728143,5152343600.0,2753,0,0,0,,100
9,9,RACS_0941-75,36434,0,36447,OBSERVED,09 41 17.715,-75 45 16.71,145.32381249999997,-75.75464166666667,291.9832930464391,-17.103969386770483,170.518,5149762981.650814,975.4214406292724,975.4214400000001,36,5152313239.083,169662427,12.899999999999988,7.599999999999996,27.08,-0.014189189299941063,1.6391379833221436,176.6108314225725,176.2367772585167,24.9324340959905,118.07553267991482,852.154357774422,5152321129.0,2754,0,0,0,,100
